iter	Passed	Remaining
420	2395	3294
421	2401	3289
422	2406	3282
423	2412	3276
424	2417	3271
425	2422	3264
426	2428	3258
427	2433	3252
428	2439	3246
429	2444	3240
430	2449	3234
431	2455	3228
432	2460	3221
433	2465	3215
434	2471	3210
435	2477	3204
436	2482	3198
437	2487	3192
438	2493	3185
439	2498	3180
440	2504	3174
441	2509	3167
442	2514	3161
443	2519	3155
444	2524	3149
445	2530	3142
446	2535	3137
447	2540	3130
448	2546	3124
449	2551	3118
450	2557	3112
451	2562	3106
452	2567	3100
453	2572	3094
454	2578	3088
455	2583	3082
456	2589	3076
457	2594	3070
458	2599	3064
459	2605	3058
460	2611	3052
461	2616	3046
462	2622	3041
463	2627	3035
464	2633	3029
465	2638	3023
466	2643	3017
467	2648	3011
468	2654	3005
469	2659	2998
470	2664	2992
471	2669	2986
472	2675	2980
473	2680	2974
474	2686	2968
475	2691	2962
476	2696	2956
477	2701	2950
478	2707	2944
479	2712	2938
480	2717	2932
481	2723	2926
482	2728	2920
483	2733	2914
484	2739	2908
485	2744	2903
486	2750	2896
487	2755	2890
488	2760	2884
489	2765	2878
490	2770	2872
491	2776	2867
492	2782	2861
493	2787	2855
494	2792	2849
495	2797	2842
496	2802	2836
497	2808	2830
498	2813	2824
499	2819	2819
500	2824	2813
501	2829	2807
502	2835	2801
503	2840	2795
504	2845	2789
505	2851	2783
506	2856	2777
507	2861	2771
508	2867	2765
509	2872	2759
510	2877	2753
511	2882	2747
512	2887	2741
513	2893	2735
514	2898	2729
515	2903	2723
516	2908	2717
517	2913	2711
518	2919	2705
519	2924	2699
520	2930	2693
521	2935	2687
522	2940	2681
523	2945	2675
524	2950	2669
525	2955	2663
526	2960	2657
527	2966	2651
528	2971	2645
529	2976	2639
530	2981	2633
531	2986	2627
532	2992	2621
533	2997	2615
534	3002	2610
535	3008	2604
536	3013	2598
537	3018	2592
538	3024	2586
539	3029	2580
540	3034	2574
541	3040	2569
542	3047	2564
543	3060	2565
544	3067	2560
545	3073	2555
546	3079	2550
547	3085	2544
548	3090	2539
549	3096	2533
550	3102	2527
551	3108	2522
552	3113	2516
553	3119	2511
554	3125	2505
555	3132	2501
556	3139	2496
557	3144	2490
558	3150	2485
559	3156	2479
560	3161	2473
561	3167	2468
562	3172	2462
563	3177	2456
564	3183	2450
565	3188	2444
566	3193	2439
567	3199	2433
568	3205	2428
569	3211	2422
570	3216	2416
571	3221	2410
572	3227	2404
573	3233	2399
574	3238	2393
575	3243	2387
576	3249	2382
577	3254	2376
578	3260	2370
579	3266	2365
580	3271	2359
581	3277	2353
582	3282	2348
583	3288	2342
584	3293	2336
585	3299	2330
586	3304	2324
587	3309	2319
588	3315	2313
589	3320	2307
590	3326	2302
591	3334	2297
592	3343	2294
593	3349	2289
594	3354	2283
595	3360	2277
596	3365	2272
597	3371	2266
598	3377	2261
599	3383	2255
600	3389	2250
601	3395	2244
602	3400	2238
603	3405	2232
604	3410	2226
605	3416	2221
606	3421	2215
607	3427	2209
608	3433	2204
609	3438	2198
610	3444	2192
611	3449	2187
612	3455	2181
613	3460	2175
614	3465	2169
615	3471	2163
616	3476	2157
617	3481	2152
618	3486	2146
619	3492	2140
620	3498	2134
621	3503	2128
622	3508	2123
623	3513	2117
624	3519	2111
625	3524	2105
626	3529	2099
627	3535	2094
628	3540	2088
629	3545	2082
630	3551	2076
631	3556	2070
632	3561	2065
633	3567	2059
634	3572	2053
635	3578	2048
636	3583	2042
637	3589	2036
638	3594	2030
639	3599	2024
640	3604	2019
641	3609	2012
642	3614	2006
643	3619	2001
644	3625	1995
645	3630	1989
646	3635	1983
647	3641	1977
648	3646	1972
649	3651	1966
650	3656	1960
651	3661	1954
652	3667	1948
653	3672	1942
654	3677	1937
655	3683	1931
656	3688	1925
657	3693	1919
658	3698	1913
659	3704	1908
660	3709	1902
661	3714	1896
662	3720	1890
663	3726	1885
664	3731	1879
665	3737	1874
666	3742	1868
667	3747	1862
668	3752	1856
669	3758	1851
670	3763	1845
671	3769	1839
672	3774	1834
673	3780	1828
674	3785	1822
675	3790	1816
676	3795	1810
677	3800	1805
