iter	RMSE
0	0.1308366123
1	0.1209006515
2	0.1120476925
3	0.1043502267
4	0.09768853228
5	0.09165660146
6	0.08629307175
7	0.08151505654
8	0.07749283068
9	0.07373949521
10	0.07060858268
11	0.06801661992
12	0.06577697164
13	0.06384548236
14	0.06212536823
15	0.06049272089
16	0.05904809152
17	0.05798234266
18	0.05702567722
19	0.05607594266
20	0.05534347038
21	0.05473686031
22	0.05418159604
23	0.05362490348
24	0.05300260812
25	0.05260928039
26	0.05231971374
27	0.05187925955
28	0.05151780875
29	0.05125071427
30	0.05095699669
31	0.05070755511
32	0.05044100073
33	0.05007347419
34	0.04984215035
35	0.04961653831
36	0.04942824224
37	0.04926304132
38	0.04907087085
39	0.04893753368
40	0.04874201744
41	0.0485794597
42	0.04846734325
43	0.04839292005
44	0.0483247908
45	0.04825213454
46	0.04817277105
47	0.04792841249
48	0.04776063702
49	0.04766658629
50	0.0475587934
51	0.04747463441
52	0.04739058778
53	0.047236119
54	0.04717282599
55	0.04709911283
56	0.04699201872
57	0.0469297852
58	0.04687573765
59	0.0468033647
60	0.04672798846
61	0.04650705266
62	0.04644408865
63	0.046394151
64	0.04623496548
65	0.04615650532
66	0.04589225275
67	0.04582517209
68	0.0457310629
69	0.04563901967
70	0.04549815624
71	0.04546650342
72	0.04542580594
73	0.04532902847
74	0.04523652824
75	0.04520462954
76	0.04511897803
77	0.04506414712
78	0.04502646741
79	0.04494588961
80	0.04480413265
81	0.04474916983
82	0.04464893601
83	0.04460915702
84	0.04452488716
85	0.04443126594
86	0.04429739034
87	0.04425025116
88	0.04421148075
89	0.04415161685
90	0.04402200246
91	0.04391147569
92	0.04382893067
93	0.04376686675
94	0.04372539701
95	0.04368109616
96	0.0436485843
97	0.04359739901
98	0.04355694734
99	0.04345128587
100	0.04338053108
101	0.04331125476
102	0.0432570785
103	0.0431585306
104	0.04298997306
105	0.04296027861
106	0.04291582784
107	0.04287214595
108	0.04280828802
109	0.0426764498
110	0.04261071639
111	0.04255481592
112	0.04245197353
113	0.0423873064
114	0.04233033638
115	0.04228212248
116	0.04216845476
117	0.04210162978
118	0.042048252
119	0.04201297362
120	0.04187531087
121	0.04181478105
122	0.04178173154
123	0.041735793
124	0.04170002719
125	0.04157722434
126	0.04154873966
127	0.0415192581
128	0.04144054103
129	0.04139812644
130	0.0412857555
131	0.04123894154
132	0.04120252281
133	0.04112531551
134	0.04109720978
135	0.04095042299
136	0.04089842847
137	0.04087836795
138	0.04085548908
139	0.04082096635
140	0.04077213619
141	0.04072973405
142	0.04069201041
143	0.04063655444
144	0.04053582001
145	0.0404729096
146	0.04039956936
147	0.04034604723
148	0.040316172
149	0.04029915683
150	0.0402794859
151	0.04025297295
152	0.04017273593
153	0.04010913921
154	0.04009068455
155	0.0399969661
156	0.03994357869
157	0.03990580905
158	0.03982810172
159	0.03980522504
160	0.03977789897
161	0.03974608918
162	0.03971282512
163	0.03968561032
164	0.0395636119
165	0.03951038516
166	0.03947837619
167	0.03941371394
168	0.03938915747
169	0.03934590343
170	0.03931002338
171	0.03928160209
172	0.03925250664
173	0.03920131017
174	0.03918084693
175	0.03915742267
176	0.03911083648
177	0.03906214972
178	0.03903332075
179	0.0389799116
180	0.0389453688
181	0.03892627647
182	0.03888685286
183	0.0388673801
184	0.038848179
185	0.03881212891
186	0.03879942407
187	0.03877046127
188	0.03873017267
189	0.03871360929
190	0.03864457866
191	0.03862236583
192	0.03857530418
193	0.03855633054
194	0.03845656035
195	0.03841156671
196	0.03833427596
197	0.03830839747
198	0.03829107025
199	0.03826378679
200	0.03824906235
201	0.03818354344
202	0.0381625649
203	0.03814694629
204	0.0380672414
205	0.03799535194
206	0.03794613047
207	0.03791909974
208	0.03784099694
209	0.0377813681
210	0.0377370126
211	0.03769531831
212	0.03765013373
213	0.03758526706
214	0.03755853864
215	0.03752995638
216	0.0374847989
217	0.03746078159
218	0.03743043093
219	0.03734990391
220	0.03733889139
221	0.03728210656
222	0.03725855634
223	0.03724761705
224	0.03721643977
225	0.03720140757
226	0.03714659937
227	0.03712181635
228	0.03709147869
229	0.03704633571
230	0.03698488979
231	0.03693730339
232	0.03688185434
233	0.03686818721
234	0.03685215071
235	0.0368112975
236	0.03677864083
237	0.03675164744
238	0.03672801379
239	0.03670206928
240	0.03667256116
241	0.03665982697
242	0.03664274047
243	0.03662695184
244	0.03661283961
245	0.03659102234
246	0.03655439103
247	0.03652059743
248	0.03649033731
249	0.03646885001
250	0.03641398652
251	0.03639713608
252	0.03636972737
253	0.03634947031
254	0.03632409976
255	0.03630531302
256	0.03627842723
257	0.03622346206
258	0.03619700221
259	0.03615441965
260	0.03611951296
261	0.03610225754
262	0.03606966301
263	0.03604230229
264	0.03600624392
265	0.0359851489
266	0.03595966874
267	0.03594089573
268	0.03593109078
269	0.03590591582
270	0.03588712097
271	0.03587388372
272	0.03585842553
273	0.03582238594
274	0.03580824237
275	0.03577740647
276	0.03576422078
277	0.03573944889
278	0.03570671434
279	0.03568731186
280	0.03566517967
281	0.03564837531
282	0.03563401741
283	0.03561609612
284	0.03559757032
285	0.03558032005
286	0.0355678627
287	0.03555467667
288	0.03553235486
289	0.03551668728
290	0.03550658801
291	0.03547179741
292	0.0354484271
293	0.03542158052
294	0.03537982957
295	0.03536776876
296	0.03535133105
297	0.03532980279
298	0.0353126159
299	0.03529035945
300	0.03527814293
301	0.03524550173
302	0.03521074101
303	0.03517732688
304	0.0351558139
305	0.03511503853
306	0.03509631507
307	0.03507422971
308	0.0350631862
309	0.03504904739
310	0.03501999765
311	0.0349956329
312	0.03496481851
313	0.03494675338
314	0.03492797746
315	0.03491469054
316	0.03489594819
317	0.03488518311
318	0.03486088581
319	0.0348377927
320	0.03483085342
321	0.034806015
322	0.03478219953
323	0.03476276332
324	0.03474888769
325	0.03472673361
326	0.03471496916
327	0.03468499594
328	0.03463141143
329	0.03458971602
330	0.03456941552
331	0.03453127859
332	0.03451102759
333	0.03446227701
334	0.03443785809
335	0.03441822503
336	0.03440374667
337	0.03438752727
338	0.03436973904
339	0.03434851386
340	0.0343342236
341	0.03432044687
342	0.03430823165
343	0.03427838372
344	0.03425721511
345	0.03423500114
346	0.03422436842
347	0.03420845845
348	0.03418878607
349	0.03417188857
350	0.03414344022
351	0.03413375132
352	0.03411868397
353	0.03410296733
354	0.03408043398
355	0.03405309153
356	0.03403899039
357	0.03402503418
358	0.0340137915
359	0.03400446166
360	0.03398814347
361	0.03398150936
362	0.03395658214
363	0.03394273854
364	0.03393145528
365	0.03392299623
366	0.03391127461
367	0.03389440915
368	0.0338808206
369	0.03385528922
370	0.03383891793
371	0.03382442472
372	0.03381755132
373	0.03380708973
374	0.03377858006
375	0.03375225071
376	0.03372453277
377	0.03368954719
378	0.03365714203
379	0.03364137348
380	0.03363192328
381	0.03361913279
382	0.03359955226
383	0.03357685451
384	0.03356468625
385	0.03354048843
386	0.03352928027
387	0.03351652338
388	0.0335034208
389	0.03349659358
390	0.03347791125
391	0.03346438832
392	0.03344947889
393	0.03343082336
394	0.03342162157
395	0.03340884545
396	0.03338731966
397	0.03336565897
398	0.03334885967
399	0.03334129182
400	0.03333313944
401	0.03329318143
402	0.03327465393
403	0.03324585074
404	0.03323205881
405	0.03321150026
406	0.03320135564
407	0.03319091658
408	0.03317493013
409	0.03315931121
410	0.03314767478
411	0.03314101433
412	0.03313300707
413	0.03310599456
414	0.03309140565
415	0.0330775354
416	0.03306769624
417	0.03304553583
418	0.03301291467
419	0.03298697703
420	0.03296348589
421	0.03294563276
422	0.03293126654
423	0.03292270022
424	0.03291061157
425	0.03289509933
426	0.03286812669
427	0.03283225491
428	0.03282345357
429	0.03280644678
430	0.0327945869
431	0.03278479297
432	0.03276579163
433	0.03274786607
434	0.03273437812
435	0.03272731007
436	0.03271098043
437	0.03268786787
438	0.03267559577
439	0.03266435434
440	0.03264348041
441	0.03262995496
442	0.0326099896
443	0.03258063462
444	0.03256428746
445	0.03255025691
446	0.03253297956
447	0.03251524179
448	0.0324986136
449	0.03248388513
450	0.03245666339
451	0.03244624273
452	0.03243848727
453	0.03242760681
454	0.03238754505
455	0.03237790676
456	0.0323593143
457	0.03235048171
458	0.03232477335
459	0.0322940789
460	0.03227281437
461	0.03226370023
462	0.03223538815
463	0.03221611775
464	0.03219553176
465	0.0321812763
466	0.03216536065
467	0.03215564638
468	0.03214463418
469	0.03213731914
470	0.032122762
471	0.0321167277
472	0.03210749727
473	0.03209206271
474	0.03206879979
475	0.03206087568
476	0.03203598996
477	0.0320111759
478	0.03200138212
479	0.03199492206
480	0.03198334252
481	0.0319581252
482	0.0319361625
483	0.03192540881
484	0.03190394925
485	0.03189497488
486	0.03188826183
487	0.03187149377
488	0.03185341028
489	0.03182745466
490	0.03181694867
491	0.03179914919
492	0.03178057515
493	0.03176348368
494	0.03175152466
495	0.03173219962
496	0.03172060423
497	0.03170843337
498	0.03168806855
499	0.0316495792
500	0.03163166584
501	0.03161895526
502	0.03160879936
503	0.03159735527
504	0.03158376202
505	0.03156619342
506	0.03155574043
507	0.03154119832
508	0.03153098286
509	0.03152441422
510	0.03151569476
511	0.03149935989
512	0.03148918455
513	0.03147823373
514	0.03146414921
515	0.03144921322
516	0.03143124654
517	0.03142772065
518	0.03141719458
519	0.03140764677
520	0.03138777952
521	0.03137274356
522	0.0313469672
523	0.0313364753
524	0.03132534091
525	0.03131639959
526	0.03130912833
527	0.03129112904
528	0.03128552421
529	0.03127909611
530	0.03127159314
531	0.03125600535
532	0.03124499902
533	0.03123733362
534	0.0312164682
535	0.03120145417
536	0.03119401711
537	0.03118748112
538	0.03116668526
539	0.03113399252
540	0.03112459121
541	0.0311058439
542	0.031093726
543	0.03106647615
544	0.03104365002
545	0.03102721968
546	0.03101081315
547	0.0310025041
548	0.03099376302
549	0.03097919499
550	0.03094568655
551	0.03093965363
552	0.03093157752
553	0.03092385339
554	0.03090143525
555	0.03087959583
556	0.03086897797
557	0.0308599155
558	0.03084802554
559	0.03083597188
560	0.03082528062
561	0.03081679262
562	0.03080846081
563	0.03079780271
564	0.03078466438
565	0.03077480713
566	0.03076789325
567	0.03075665649
568	0.03073946835
569	0.03072510202
570	0.03071369801
571	0.03070817561
572	0.03069258463
573	0.03066431454
574	0.03066004105
575	0.03065199364
576	0.03064710101
577	0.03063106128
578	0.03062145303
579	0.03061251037
580	0.03060297814
581	0.03058663975
582	0.03057613959
583	0.03055617088
584	0.0305482046
585	0.03053495688
586	0.03052418068
587	0.03050945624
588	0.03049514201
589	0.03048184415
590	0.03045868127
591	0.03044200291
592	0.03042684727
593	0.03041597765
